State,County,fips_state,fips_county
Georgia,Appling,13,1
Georgia,Atkinson,13,3
Georgia,Bacon,13,5
Georgia,Baker,13,7
Georgia,Baldwin,13,9
Georgia,Banks,13,11
Georgia,Barrow,13,13
Georgia,Bartow,13,15
Georgia,Ben Hill,13,17
Georgia,Berrien,13,19
Georgia,Bibb,13,21
Georgia,Bleckley,13,23
Georgia,Brantley,13,25
Georgia,Brooks,13,27
Georgia,Bryan,13,29
Georgia,Bulloch,13,31
Georgia,Burke,13,33
Georgia,Butts,13,35
Georgia,Calhoun,13,37
Georgia,Camden,13,39
Georgia,Candler,13,43
Georgia,Carroll,13,45
Georgia,Catoosa,13,47
Georgia,Charlton,13,49
Georgia,Chatham,13,51
Georgia,Chattahoochee,13,53
Georgia,Chattooga,13,55
Georgia,Cherokee,13,57
Georgia,Clarke,13,59
Georgia,Clay,13,61
Georgia,Clayton,13,63
Georgia,Clinch,13,65
Georgia,Cobb,13,67
Georgia,Coffee,13,69
Georgia,Colquitt,13,71
Georgia,Columbia,13,73
Georgia,Cook,13,75
Georgia,Coweta,13,77
Georgia,Crawford,13,79
Georgia,Crisp,13,81
Georgia,Dade,13,83
Georgia,Dawson,13,85
Georgia,Decatur,13,87
Georgia,De Kalb,13,89
Georgia,Dodge,13,91
Georgia,Dooly,13,93
Georgia,Dougherty,13,95
Georgia,Douglas,13,97
Georgia,Early,13,99
Georgia,Echols,13,101
Georgia,Effingham,13,103
Georgia,Elbert,13,105
Georgia,Emanuel,13,107
Georgia,Evans,13,109
Georgia,Fannin,13,111
Georgia,Fayette,13,113
Georgia,Floyd,13,115
Georgia,Forsyth,13,117
Georgia,Franklin,13,119
Georgia,Fulton,13,121
Georgia,Gilmer,13,123
Georgia,Glascock,13,125
Georgia,Glynn,13,127
Georgia,Gordon,13,129
Georgia,Grady,13,131
Georgia,Greene,13,133
Georgia,Gwinnett,13,135
Georgia,Habersham,13,137
Georgia,Hall,13,139
Georgia,Hancock,13,141
Georgia,Haralson,13,143
Georgia,Harris,13,145
Georgia,Hart,13,147
Georgia,Heard,13,149
Georgia,Henry,13,151
Georgia,Houston,13,153
Georgia,Irwin,13,155
Georgia,Jackson,13,157
Georgia,Jasper,13,159
Georgia,Jeff Davis,13,161
Georgia,Jefferson,13,163
Georgia,Jenkins,13,165
Georgia,Johnson,13,167
Georgia,Jones,13,169
Georgia,Lamar,13,171
Georgia,Lanier,13,173
Georgia,Laurens,13,175
Georgia,Lee,13,177
Georgia,Liberty,13,179
Georgia,Lincoln,13,181
Georgia,Long,13,183
Georgia,Lowndes,13,185
Georgia,Lumpkin,13,187
Georgia,McDuffie,13,189
Georgia,McIntosh,13,191
Georgia,Macon,13,193
Georgia,Madison,13,195
Georgia,Marion,13,197
Georgia,Meriwether,13,199
Georgia,Miller,13,201
Georgia,Mitchell,13,205
Georgia,Monroe,13,207
Georgia,Montgomery,13,209
Georgia,Morgan,13,211
Georgia,Murray,13,213
Georgia,Muscogee,13,215
Georgia,Newton,13,217
Georgia,Oconee,13,219
Georgia,Oglethorpe,13,221
Georgia,Paulding,13,223
Georgia,Peach,13,225
Georgia,Pickens,13,227
Georgia,Pierce,13,229
Georgia,Pike,13,231
Georgia,Polk,13,233
Georgia,Pulaski,13,235
Georgia,Putnam,13,237
Georgia,Quitman,13,239
Georgia,Rabun,13,241
Georgia,Randolph,13,243
Georgia,Richmond,13,245
Georgia,Rockdale,13,247
Georgia,Schley,13,249
Georgia,Screven,13,251
Georgia,Seminole,13,253
Georgia,Spalding,13,255
Georgia,Stephens,13,257
Georgia,Stewart,13,259
Georgia,Sumter,13,261
Georgia,Talbot,13,263
Georgia,Taliaferro,13,265
Georgia,Tattnall,13,267
Georgia,Taylor,13,269
Georgia,Telfair,13,271
Georgia,Terrell,13,273
Georgia,Thomas,13,275
Georgia,Tift,13,277
Georgia,Toombs,13,279
Georgia,Towns,13,281
Georgia,Treutlen,13,283
Georgia,Troup,13,285
Georgia,Turner,13,287
Georgia,Twiggs,13,289
Georgia,Union,13,291
Georgia,Upson,13,293
Georgia,Walker,13,295
Georgia,Walton,13,297
Georgia,Ware,13,299
Georgia,Warren,13,301
Georgia,Washington,13,303
Georgia,Wayne,13,305
Georgia,Webster,13,307
Georgia,Wheeler,13,309
Georgia,White,13,311
Georgia,Whitfield,13,313
Georgia,Wilcox,13,315
Georgia,Wilkes,13,317
Georgia,Wilkinson,13,319
Georgia,Worth,13,321